device,name,type,enabled,mac_address,mtu,description,mode
Cisco Switch 1,Vlan1,1000BASE-T (1GE),true,ece1.a9a7.5640,1500,,Tagged
Cisco Switch 1,Vlan11,1000BASE-T (1GE),true,ece1.a9a7.5641,1500,,Tagged
Cisco Switch 1,FastEthernet0,1000BASE-T (1GE),false,ece1.a9a7.5639,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/1,1000BASE-T (1GE),false,ece1.a9a7.5601,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/2,1000BASE-T (1GE),true,ece1.a9a7.5602,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/3,1000BASE-T (1GE),true,ece1.a9a7.5603,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/4,1000BASE-T (1GE),true,ece1.a9a7.5604,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/5,1000BASE-T (1GE),true,ece1.a9a7.5605,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/6,1000BASE-T (1GE),true,ece1.a9a7.5606,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/7,1000BASE-T (1GE),false,ece1.a9a7.5607,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/8,1000BASE-T (1GE),true,ece1.a9a7.5608,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/9,1000BASE-T (1GE),false,ece1.a9a7.5609,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/10,1000BASE-T (1GE),true,ece1.a9a7.560a,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/11,1000BASE-T (1GE),true,ece1.a9a7.560b,1500,Unifi Camera - Vorraum,Tagged
Cisco Switch 1,GigabitEthernet1/0/12,1000BASE-T (1GE),true,ece1.a9a7.560c,1500,aklementyev phone,Tagged
Cisco Switch 1,GigabitEthernet1/0/13,1000BASE-T (1GE),true,ece1.a9a7.560d,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/14,1000BASE-T (1GE),true,ece1.a9a7.560e,1500,Unifi Camera - Parking Entrance,Tagged
Cisco Switch 1,GigabitEthernet1/0/15,1000BASE-T (1GE),false,ece1.a9a7.560f,1500,Unifi Camera - Outdoor Street,Tagged
Cisco Switch 1,GigabitEthernet1/0/16,1000BASE-T (1GE),true,ece1.a9a7.5610,1500,### PHONE Nikoloz Chachua ###,Tagged
Cisco Switch 1,GigabitEthernet1/0/17,1000BASE-T (1GE),false,ece1.a9a7.5611,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/18,1000BASE-T (1GE),true,ece1.a9a7.5612,1500,,Tagged
Cisco Switch 1,GigabitEthernet1/0/19,1000BASE-T (1GE),false,ece1.a9a7.5613,1500,Unifi Camera - Parking Right,Tagged
